0x0000 FIRE_RING                  
0x0100 CHUNKS                  
0x0200 EXPLODING_ARM                  
0x0210 EXPLODING_HEAD                  
0x0220 EXPLODING_FOOT                  
0x0230 EXPLODING_TORSO                  
0x0240 EXPLODING_LEG                  
0x0300 SMOKE_PUFF_LARGE                  
0x0301 SMOKE_PUFF_SMALL                  
0x0400 TRAP_SKULL                  
0x0410 TRAP_GLYPH                  
0x0500 CLOUD_TRAVEL                  
0x0510 CLOUD_STATIC                  
0x0600 STORM_TRAVEL                  
0x0610 STORM_STATIC                  
0x0700 GREASE_TRAVEL                  
0x0710 GREASE_STATIC                  
0x0800 WEB_TRAVEL                  
0x0810 WEB_STATIC                  
0x1000 WYVERN_BIG MWYV                 
0x1100 TANARRI MTAN                 
0x1200 DRAGON_RED MDR crash fix               
0x1201 DRAGON_BLACK MDR crash fix               
0x1202 DRAGON_SILVER MDR crash fix               
0x1203 DRAGON_GREEN MDR                 
0x1204 DRAGON_AQUA MDR                 
0x1205 DRAGON_BLUE MDR                 
0x1206 DRAGON_BROWN MDR                 
0x1207 DRAGON_MULTICOLOR MDR                 
0x1208 DRAGON_PURPLE MDR                 
0x1300 DEMIGORGON MDEM                 
0x2000 SIRINE MSIR                 
0x2100 VOLO UVOL                 
0x2200 OGRE_MAGE MOGM                 
0x2300 DEATH_KNIGHT MDKN                 
0x3000 ANKHEG MAKH                 
0x4000 STATIC_NOBLE_MAN_CHAIR SNOMC                 
0x4002 STATIC_NOBLE_MAN_MATTE SNOMM                 
0x4010 STATIC_NOBLE_WOMAN_CHAIR SNOWC                 
0x4012 STATIC_NOBLE_WOMAN_MATTE SNOWM                 
0x4100 STATIC_PEASANT_MAN_CHAIR SSIMC                 
0x4101 STATIC_PEASANT_MAN_STOOL SSIMS                 
0x4102 STATIC_PEASANT_MAN_MATTE SSIMM                 
0x4110 STATIC_PEASANT_WOMAN_CHAIR SSIWC                 
0x4112 STATIC_PEASANT_WOMAN_MATTE SSIWM                 
0x4200 STATIC_HUMANCLERIC_MAN_CHAIR SHMCM                 
0x4300 STATIC_SPIDER_WOMAN MSPL                 
0x4400 SLEEPING_MAN_HUMAN LHMC                 
0x4410 SLEEPING_WOMAN_HUMAN LHFC                 
0x4500 SLEEPING_FAT_MAN_HUMAN LFAM                 
0x4600 SLEEPING_DWARF LDMF                 
0x4700 SLEEPING_MAN_ELF LEMF                 
0x4710 SLEEPING_WOMAN_ELF LEFF                 
0x4800 SLEEPING_MAN_HALFLING LIMC                 
0x5000 CLERIC_MALE_HUMAN_LOW CHMB                 
0x5001 CLERIC_MALE_ELF_LOW CEMB                 
0x5002 CLERIC_MALE_DWARF_LOW CDMB                 
0x5003 CLERIC_MALE_HALFLING_LOW CIMB                 
